epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1977.61,1.32282,0.46539,0.61104,0.91651,0.90625,0.92552,0.53446,1.58275,0.77746,0.77777,0.000198206,0.000198206,0.000198206
91,2000.5,1.31297,0.47081,0.63027,0.86278,0.93482,0.917,0.53871,1.55765,0.78327,0.79914,0.000181703,0.000181703,0.000181703
92,2023.75,1.30103,0.45823,0.63401,0.86784,0.87749,0.91279,0.53071,1.54952,0.79624,0.79394,0.0001652,0.0001652,0.0001652
93,2046.7,1.36295,0.46572,0.62265,0.88011,0.90625,0.92219,0.53076,1.5604,0.73426,0.78382,0.000148696,0.000148696,0.000148696
94,2070.18,1.36694,0.45405,0.60486,0.90565,0.965,0.93432,0.5391,1.56869,0.71613,0.77309,0.000132193,0.000132193,0.000132193
95,2092.66,1.34213,0.45356,0.60645,0.88366,0.94464,0.93471,0.54394,1.55372,0.7301,0.7645,0.00011569,0.00011569,0.00011569
96,2115.95,1.2939,0.45133,0.61318,0.84583,0.96875,0.92863,0.54035,1.54756,0.72942,0.75566,9.91865e-05,9.91865e-05,9.91865e-05
97,2138.88,1.26627,0.43079,0.6155,0.89713,0.94294,0.93121,0.53356,1.55168,0.75379,0.76394,8.26832e-05,8.26832e-05,8.26832e-05
98,2161.38,1.26802,0.44043,0.60045,0.90789,0.90831,0.93071,0.53317,1.55919,0.77373,0.76469,6.61799e-05,6.61799e-05,6.61799e-05
99,2183.2,1.31428,0.43854,0.60303,0.85874,0.88365,0.89666,0.52108,1.55821,0.77441,0.76589,4.96766e-05,4.96766e-05,4.96766e-05
100,2205.19,1.35617,0.45085,0.60373,0.89214,0.90625,0.92535,0.52584,1.5548,0.76729,0.76555,3.31733e-05,3.31733e-05,3.31733e-05
